Name,Number,Rarity
Team Magma's Numel,1/34,Common
Team Magma's Camerupt,2/34,Rare Holo
Team Aqua's Spheal,3/34,Common
Team Aqua's Sealeo,4/34,Common
Team Aqua's Walrein,5/34,Rare Holo
Team Aqua's Kyogre-EX,6/34,Rare Ultra
Team Aqua's Grimer,7/34,Common
Team Aqua's Muk,8/34,Rare Holo
Team Aqua's Seviper,9/34,Common
Team Magma's Baltoy,10/34,Common
Team Magma's Claydol,11/34,Rare Holo
Team Magma's Aron,12/34,Common
Team Magma's Lairon,13/34,Common
Team Magma's Aggron,14/34,Rare Holo
Team Magma's Groudon-EX,15/34,Rare Ultra
Team Aqua's Poochyena,16/34,Common
Team Magma's Poochyena,17/34,Common
Team Aqua's Mightyena,18/34,Common
Team Magma's Mightyena,19/34,Common
Team Aqua's Carvanha,20/34,Common
Team Aqua's Sharpedo,21/34,Rare Holo
Team Magma's Zangoose,22/34,Common
Aqua Diffuser,23/34,Uncommon
Magma Pointer,24/34,Uncommon
Team Aqua Admin,25/34,Uncommon
Team Aqua Grunt,26/34,Uncommon
Team Aqua's Great Ball,27/34,Uncommon
Team Aqua's Secret Base,28/34,Uncommon
Team Magma Admin,29/34,Uncommon
Team Magma Grunt,30/34,Uncommon
Team Magma's Great Ball,31/34,Uncommon
Team Magma's Secret Base,32/34,Uncommon
Double Aqua Energy,33/34,Uncommon
Double Magma Energy,34/34,Uncommon
