Name,Number,Rarity
Venusaur-EX,1/108,Rare Holo EX
M Venusaur-EX,2/108,Rare Holo EX
Caterpie,3/108,Common
Metapod,4/108,Uncommon
Weedle,5/108,Common
Kakuna,6/108,Uncommon
Beedrill,7/108,Rare
Tangela,8/108,Common
Charmander,9/108,Common
Charmeleon,10/108,Uncommon
Charizard,11/108,Rare Holo
Charizard-EX,12/108,Rare Holo EX
M Charizard-EX,13/108,Rare Holo EX
Vulpix,14/108,Common
Ninetales,15/108,Rare Holo
Ninetales BREAK,16/108,Rare BREAK
Growlithe,17/108,Common
Arcanine,18/108,Rare
Ponyta,19/108,Common
Magmar,20/108,Uncommon
Blastoise-EX,21/108,Rare Holo EX
M Blastoise-EX,22/108,Rare Holo EX
Poliwag,23/108,Common
Poliwhirl,24/108,Uncommon
Poliwrath,25/108,Rare Holo
Slowbro-EX,26/108,Rare Holo EX
M Slowbro-EX,27/108,Rare Holo EX
Seel,28/108,Common
Dewgong,29/108,Rare
Staryu,30/108,Common
Starmie,31/108,Rare
Starmie BREAK,32/108,Rare BREAK
Magikarp,33/108,Common
Gyarados,34/108,Rare Holo
Pikachu,35/108,Common
Raichu,36/108,Rare Holo
Magnemite,37/108,Common
Magneton,38/108,Rare Holo
Voltorb,39/108,Common
Electrode,40/108,Rare
Electabuzz,41/108,Common
Zapdos,42/108,Rare Holo
Nidoran ♂,43/108,Common
Nidorino,44/108,Uncommon
Nidoking,45/108,Rare Holo
Nidoking BREAK,46/108,Rare BREAK
Gastly,47/108,Common
Haunter,48/108,Uncommon
Drowzee,49/108,Common
Koffing,50/108,Uncommon
Mewtwo,51/108,Rare
Mewtwo-EX,52/108,Rare Holo EX
Mew,53/108,Rare Holo
Sandshrew,54/108,Common
Diglett,55/108,Common
Dugtrio,56/108,Rare
Machop,57/108,Common
Machoke,58/108,Uncommon
Machamp,59/108,Rare Holo
Machamp BREAK,60/108,Rare BREAK
Onix,61/108,Common
Hitmonchan,62/108,Rare Holo
Clefairy,63/108,Rare Holo
Pidgeot-EX,64/108,Rare Holo EX
M Pidgeot-EX,65/108,Rare Holo EX
Rattata,66/108,Common
Raticate,67/108,Rare
Farfetch'd,68/108,Rare
Doduo,69/108,Common
Chansey,70/108,Rare Holo
Porygon,71/108,Uncommon
Dragonite-EX,72/108,Rare Holo EX
Blastoise Spirit Link,73/108,Uncommon
Brock's Grit,74/108,Uncommon
Charizard Spirit Link,75/108,Uncommon
Devolution Spray,76/108,Uncommon
Energy Retrieval,77/108,Uncommon
Full Heal,78/108,Uncommon
Maintenance,79/108,Uncommon
Misty's Determination,80/108,Uncommon
Pidgeot Spirit Link,81/108,Uncommon
Pokédex,82/108,Uncommon
Potion,83/108,Uncommon
Professor Oak's Hint,84/108,Uncommon
Revive,85/108,Uncommon
Slowbro Spirit Link,86/108,Uncommon
Super Potion,87/108,Uncommon
Switch,88/108,Uncommon
Venusaur Spirit Link,89/108,Uncommon
Double Colorless Energy,90/108,Uncommon
Grass Energy,91/108,Common
Fire Energy,92/108,Common
Water Energy,93/108,Common
Lightning Energy,94/108,Common
Psychic Energy,95/108,Common
Fighting Energy,96/108,Common
Darkness Energy,97/108,Common
Metal Energy,98/108,Common
Fairy Energy,99/108,Common
M Venusaur-EX,100/108,Rare Ultra
M Charizard-EX,101/108,Rare Ultra
M Blastoise-EX,102/108,Rare Ultra
Mewtwo-EX,103/108,Rare Ultra
Pidgeot-EX,104/108,Rare Ultra
M Pidgeot-EX,105/108,Rare Ultra
Dragonite-EX,106/108,Rare Ultra
Brock's Grit,107/108,Rare Ultra
Misty's Determination,108/108,Rare Ultra
ナッシー[Exeggutor],109/108,Rare Secret
Flying Pikachu,110/108,Rare Secret
Surfing Pikachu,111/108,Rare Secret
Imakuni?'s Doduo,112/108,Rare Secret
Here Comes Team Rocket!,113/108,Rare Secret
