Name,Number,Rarity
Shuckle,1/124,Uncommon
Burmy,2/124,Common
Wormadam,3/124,Uncommon
Mothim,4/124,Rare
Snivy,5/124,Common
Servine,6/124,Uncommon
Serperior,7/124,Rare
Deerling,8/124,Common
Moltres,9/124,Rare
Fennekin,10/124,Common
Fennekin,11/124,Common
Braixen,12/124,Uncommon
Delphox,13/124,Rare Holo
Delphox BREAK,14/124,Rare BREAK
Seel,15/124,Common
Dewgong,16/124,Uncommon
Omanyte,17/124,Uncommon
Omastar,18/124,Rare
Omastar BREAK,19/124,Rare BREAK
Glaceon-EX,20/124,Rare Holo EX
White Kyurem,21/124,Rare Holo
Binacle,22/124,Common
Barbaracle,23/124,Rare
Rotom,24/124,Rare
Alakazam-EX,25/124,Rare Holo EX
M Alakazam-EX,26/124,Rare Holo EX
Koffing,27/124,Common
Weezing,28/124,Uncommon
Mew,29/124,Rare Holo
Spoink,30/124,Common
Grumpig,31/124,Rare
Gothita,32/124,Common
Solosis,33/124,Common
Duosion,34/124,Uncommon
Reuniclus,35/124,Rare
Diglett,36/124,Common
Marowak,37/124,Rare
Kabuto,38/124,Uncommon
Kabutops,39/124,Rare
Larvitar,40/124,Common
Larvitar,41/124,Common
Pupitar,42/124,Uncommon
Regirock-EX,43/124,Rare Holo EX
Regirock-EX,43a/124,Rare Ultra
Wormadam,44/124,Uncommon
Riolu,45/124,Common
Riolu,46/124,Common
Lucario,47/124,Rare
Hawlucha,48/124,Uncommon
Carbink,49/124,Rare
Carbink,50/124,Common
Carbink BREAK,51/124,Rare BREAK
Zygarde,52/124,Uncommon
Zygarde,53/124,Rare
Zygarde-EX,54/124,Rare Holo EX
Zygarde-EX,54a/124,Rare Ultra
Umbreon-EX,55/124,Rare Holo EX
Tyranitar,56/124,Rare Holo
Vullaby,57/124,Common
Mandibuzz,58/124,Rare
Wormadam,59/124,Uncommon
Bronzor,60/124,Common
Bronzong,61/124,Rare
Bronzong BREAK,62/124,Rare BREAK
Lucario,63/124,Rare Holo
Genesect-EX,64/124,Rare Holo EX
Jigglypuff,65/124,Common
Wigglytuff,66/124,Uncommon
Mr. Mime,67/124,Rare
Snubbull,68/124,Common
M Altaria-EX,69/124,Rare Holo EX
Cottonee,70/124,Common
Whimsicott,71/124,Uncommon
Diancie-EX,72/124,Rare Holo EX
Kingdra-EX,73/124,Rare Holo EX
Meowth,74/124,Common
Kangaskhan,75/124,Uncommon
Aerodactyl,76/124,Rare
Snorlax,77/124,Rare
Lugia,78/124,Rare
Lugia BREAK,79/124,Rare BREAK
Whismur,80/124,Common
Loudred,81/124,Uncommon
Exploud,82/124,Rare
Altaria-EX,83/124,Rare Holo EX
Audino-EX,84/124,Rare Holo EX
M Audino-EX,85/124,Rare Holo EX
Minccino,86/124,Common
Minccino,87/124,Common
Cinccino,88/124,Uncommon
Cinccino,89/124,Uncommon
Alakazam Spirit Link,90/124,Uncommon
Altaria Spirit Link,91/124,Uncommon
Audino Spirit Link,92/124,Uncommon
Bent Spoon,93/124,Uncommon
Chaos Tower,94/124,Uncommon
Devolution Spray,95/124,Uncommon
Dome Fossil Kabuto,96/124,Uncommon
Energy Pouch,97/124,Uncommon
Energy Reset,98/124,Uncommon
Fairy Drop,99/124,Uncommon
Fairy Garden,100/124,Uncommon
Fossil Excavation Kit,101/124,Uncommon
Helix Fossil Omanyte,102/124,Uncommon
Lass's Special,103/124,Uncommon
Mega Catcher,104/124,Uncommon
N,105/124,Uncommon
N,105a/124,Rare Ultra
Old Amber Aerodactyl,106/124,Uncommon
Pokémon Fan Club,107/124,Uncommon
Power Memory,108/124,Uncommon
Random Receiver,109/124,Uncommon
Scorched Earth,110/124,Uncommon
Shauna,111/124,Uncommon
Shauna,111a/124,Rare Ultra
Team Rocket's Handiwork,112/124,Uncommon
Ultra Ball,113/124,Uncommon
Double Colorless Energy,114/124,Uncommon
Strong Energy,115/124,Uncommon
Glaceon-EX,116/124,Rare Ultra
Alakazam-EX,117/124,Rare Ultra
M Alakazam-EX,118/124,Rare Ultra
Umbreon-EX,119/124,Rare Ultra
Genesect-EX,120/124,Rare Ultra
M Altaria-EX,121/124,Rare Ultra
Kingdra-EX,122/124,Rare Ultra
Altaria-EX,123/124,Rare Ultra
Team Rocket's Handiwork,124/124,Rare Ultra
Alakazam-EX,125/124,Rare Secret
