Name,Number,Rarity
Bellsprout,1/111,Common
Weepinbell,2/111,Uncommon
Victreebel,3/111,Rare Holo
Heracross-EX,4/111,Rare Holo EX
M Heracross-EX,5/111,Rare Holo EX
Shroomish,6/111,Common
Leafeon,7/111,Rare
Shelmet,8/111,Common
Accelgor,9/111,Uncommon
Magmar,10/111,Common
Magmortar,11/111,Rare
Torchic,12/111,Common
Combusken,13/111,Uncommon
Blaziken,14/111,Rare Holo
Poliwag,15/111,Common
Poliwhirl,16/111,Uncommon
Poliwrath,17/111,Rare Holo
Politoed,18/111,Rare
Glaceon,19/111,Rare
Seismitoad-EX,20/111,Rare Holo EX
Cubchoo,21/111,Common
Beartic,22/111,Rare
Clauncher,23/111,Common
Clawitzer,24/111,Rare Holo
Amaura,25/111,Uncommon
Aurorus,26/111,Rare
Pikachu,27/111,Common
Raichu,28/111,Uncommon
Electabuzz,29/111,Common
Electivire,30/111,Rare
Plusle,31/111,Common
Minun,32/111,Common
Thundurus,33/111,Rare
Dedenne,34/111,Uncommon
Drowzee,35/111,Common
Hypno,36/111,Rare
Jynx,37/111,Rare
Skorupi,38/111,Common
Gothita,39/111,Common
Gothorita,40/111,Uncommon
Gothitelle,41/111,Rare
Golett,42/111,Common
Golurk,43/111,Rare
Machop,44/111,Common
Machoke,45/111,Uncommon
Machamp,46/111,Rare Holo
Hitmonlee,47/111,Uncommon
Hitmonchan,48/111,Uncommon
Hitmontop,49/111,Uncommon
Breloom,50/111,Rare
Makuhita,51/111,Common
Hariyama,52/111,Rare
Trapinch,53/111,Common
Lucario-EX,54/111,Rare Holo EX
M Lucario-EX,55/111,Rare Holo EX
M Lucario-EX,55a/111,Rare Ultra
Mienfoo,56/111,Common
Mienshao,57/111,Uncommon
Landorus,58/111,Rare Holo
Pancham,59/111,Uncommon
Pancham,60/111,Common
Tyrunt,61/111,Uncommon
Tyrantrum,62/111,Rare
Hawlucha,63/111,Rare Holo
Hawlucha-EX,64/111,Rare Holo EX
Drapion,65/111,Rare
Scraggy,66/111,Common
Scrafty,67/111,Uncommon
Pangoro,68/111,Rare
Clefairy,69/111,Common
Clefairy,70/111,Common
Clefable,71/111,Uncommon
Sylveon,72/111,Rare
Klefki,73/111,Uncommon
Dragonite-EX,74/111,Rare Holo EX
Vibrava,75/111,Uncommon
Flygon,76/111,Rare
Noivern,77/111,Rare Holo
Lickitung,78/111,Common
Lickilicky,79/111,Uncommon
Eevee,80/111,Common
Slakoth,81/111,Common
Vigoroth,82/111,Uncommon
Slaking,83/111,Rare Holo
Patrat,84/111,Common
Watchog,85/111,Uncommon
Tornadus,86/111,Rare
Noibat,87/111,Common
Battle Reporter,88/111,Uncommon
Energy Switch,89/111,Uncommon
Fighting Stadium,90/111,Uncommon
Focus Sash,91/111,Uncommon
Fossil Researcher,92/111,Uncommon
Full Heal,93/111,Uncommon
Jaw Fossil,94/111,Uncommon
Korrina,95/111,Uncommon
Maintenance,96/111,Uncommon
Mountain Ring,97/111,Uncommon
Sail Fossil,98/111,Uncommon
Sparkling Robe,99/111,Uncommon
Super Scoop Up,100/111,Uncommon
Tool Retriever,101/111,Uncommon
Training Center,102/111,Uncommon
Herbal Energy,103/111,Uncommon
Strong Energy,104/111,Uncommon
Heracross-EX,105/111,Rare Ultra
Seismitoad-EX,106/111,Rare Ultra
Lucario-EX,107/111,Rare Ultra
Dragonite-EX,108/111,Rare Ultra
Battle Reporter,109/111,Rare Ultra
Fossil Researcher,110/111,Rare Ultra
Korrina,111/111,Rare Ultra
M Heracross-EX,112/111,Rare Secret
M Lucario-EX,113/111,Rare Secret
