Name,Number,Rarity
Caterpie,1/106,Common
Metapod,2/106,Uncommon
Butterfree,3/106,Rare
Pineco,4/106,Common
Seedot,5/106,Common
Nuzleaf,6/106,Uncommon
Shiftry,7/106,Rare Holo
Roselia,8/106,Common
Roserade,9/106,Uncommon
Maractus,10/106,Uncommon
Charizard-EX,11/106,Rare Holo EX
Charizard-EX,12/106,Rare Holo EX
M Charizard-EX,13/106,Rare Holo EX
Ponyta,14/106,Common
Rapidash,15/106,Uncommon
Torkoal,16/106,Uncommon
Fletchinder,17/106,Uncommon
Litleo,18/106,Common
Litleo,19/106,Common
Pyroar,20/106,Rare Holo
Qwilfish,21/106,Rare
Feebas,22/106,Common
Milotic,23/106,Rare Holo
Spheal,24/106,Common
Sealeo,25/106,Uncommon
Walrein,26/106,Rare
Luvdisc,27/106,Uncommon
Buizel,28/106,Common
Floatzel,29/106,Rare
Bergmite,30/106,Common
Avalugg,31/106,Uncommon
Shinx,32/106,Common
Luxio,33/106,Uncommon
Luxray,34/106,Rare
Magnezone-EX,35/106,Rare Holo EX
Helioptile,36/106,Common
Heliolisk,37/106,Rare
Duskull,38/106,Common
Dusclops,39/106,Uncommon
Dusknoir,40/106,Rare Holo
Toxicroak-EX,41/106,Rare Holo EX
Espurr,42/106,Common
Meowstic,43/106,Rare
Skrelp,44/106,Common
Geodude,45/106,Common
Graveler,46/106,Uncommon
Golem,47/106,Rare
Binacle,48/106,Common
Barbaracle,49/106,Rare
Sneasel,50/106,Uncommon
Sneasel,51/106,Common
Weavile,52/106,Rare
Stunky,53/106,Common
Stunky,54/106,Common
Skuntank,55/106,Rare
Sandile,56/106,Common
Krokorok,57/106,Uncommon
Scraggy,58/106,Common
Scrafty,59/106,Rare
Forretress,60/106,Rare
Durant,61/106,Rare
Flabébé,62/106,Common
Flabébé,63/106,Common
Floette,64/106,Rare
Floette,65/106,Uncommon
Florges,66/106,Rare Holo
Spritzee,67/106,Common
Carbink,68/106,Rare Holo
M Charizard-EX,69/106,Rare Holo EX
Druddigon,70/106,Rare Holo
Dragalge,71/106,Rare
Goomy,72/106,Common
Sliggoo,73/106,Uncommon
Goodra,74/106,Rare Holo
Pidgey,75/106,Common
Pidgeotto,76/106,Uncommon
Pidgeot,77/106,Rare
Kangaskhan-EX,78/106,Rare Holo EX
M Kangaskhan-EX,79/106,Rare Holo EX
Snorlax,80/106,Rare
Sentret,81/106,Common
Furret,82/106,Rare
Miltank,83/106,Uncommon
Buneary,84/106,Common
Lopunny,85/106,Rare
Fletchling,86/106,Common
Furfrou,87/106,Uncommon
Blacksmith,88/106,Uncommon
Blacksmith,88a/106,Rare Ultra
Fiery Torch,89/106,Uncommon
Lysandre,90/106,Uncommon
Magnetic Storm,91/106,Uncommon
Pal Pad,92/106,Uncommon
Pokémon Center Lady,93/106,Uncommon
Pokémon Fan Club,94/106,Uncommon
Protection Cube,95/106,Uncommon
Sacred Ash,96/106,Uncommon
Startling Megaphone,97/106,Uncommon
Trick Shovel,98/106,Uncommon
Ultra Ball,99/106,Uncommon
Charizard-EX,100/106,Rare Ultra
Magnezone-EX,101/106,Rare Ultra
Toxicroak-EX,102/106,Rare Ultra
Kangaskhan-EX,103/106,Rare Ultra
Lysandre,104/106,Rare Ultra
Pokémon Center Lady,105/106,Rare Ultra
Pokémon Fan Club,106/106,Rare Ultra
M Charizard-EX,107/106,Rare Secret
M Charizard-EX,108/106,Rare Secret
M Kangaskhan-EX,109/106,Rare Secret
