Name,Number,Rarity
Venusaur-EX,1/83,Rare Holo EX
M Venusaur-EX,2/83,Rare Holo EX
Caterpie,3/83,Common
Metapod,4/83,Uncommon
Butterfree,5/83,Rare Holo
Paras,6/83,Common
Parasect,7/83,Rare
Tangela,8/83,Common
Pinsir,9/83,Rare
Leafeon-EX,10/83,Rare Holo EX
Charizard-EX,11/83,Rare Holo EX
M Charizard-EX,12/83,Rare Holo EX
Ninetales-EX,13/83,Rare Holo EX
Ponyta,14/83,Common
Rapidash,15/83,Rare
Magmar,16/83,Common
Blastoise-EX,17/83,Rare Holo EX
M Blastoise-EX,18/83,Rare Holo EX
Shellder,19/83,Common
Cloyster,20/83,Uncommon
Krabby,21/83,Common
Magikarp,22/83,Common
Gyarados,23/83,Rare
Vaporeon-EX,24/83,Rare Holo EX
Articuno,25/83,Rare Holo
Pikachu,26/83,Common
Raichu,27/83,Rare Holo
Jolteon-EX,28/83,Rare Holo EX
Jolteon-EX,28a/83,Rare Ultra
Zapdos,29/83,Rare Holo
Zubat,30/83,Common
Golbat,31/83,Uncommon
Slowpoke,32/83,Common
Gastly,33/83,Common
Haunter,34/83,Uncommon
Gengar,35/83,Rare Holo
Jynx,36/83,Rare
Meowstic-EX,37/83,Rare Holo EX
Diglett,38/83,Common
Dugtrio,39/83,Rare
Machop,40/83,Common
Machoke,41/83,Uncommon
Machamp,42/83,Rare Holo
Geodude,43/83,Common
Graveler,44/83,Uncommon
Golem,45/83,Rare Holo
Golem-EX,46/83,Rare Holo EX
Hitmonlee,47/83,Rare
Hitmonchan,48/83,Rare
Rhyhorn,49/83,Common
Clefairy,50/83,Common
Clefable,51/83,Uncommon
Mr. Mime,52/83,Uncommon
Meowth,53/83,Common
Persian,54/83,Uncommon
Doduo,55/83,Common
Dodrio,56/83,Rare
Tauros,57/83,Rare
Snorlax,58/83,Rare
Clemont,59/83,Uncommon
Crushing Hammer,60/83,Uncommon
Energy Switch,61/83,Uncommon
Evosoda,62/83,Uncommon
Imakuni?,63/83,Uncommon
Maintenance,64/83,Uncommon
Max Revive,65/83,Uncommon
Olympia,66/83,Uncommon
Poké Ball,67/83,Uncommon
Pokémon Center Lady,68/83,Uncommon
Pokémon Fan Club,69/83,Uncommon
Revitalizer,70/83,Uncommon
Red Card,71/83,Uncommon
Shauna,72/83,Uncommon
Team Flare Grunt,73/83,Uncommon
Team Flare Grunt,73a/83,Rare Ultra
Double Colorless Energy,74/83,Uncommon
Grass Energy,75/83,Common
Fire Energy,76/83,Common
Water Energy,77/83,Common
Lightning Energy,78/83,Common
Psychic Energy,79/83,Common
Fighting Energy,80/83,Common
Darkness Energy,81/83,Common
Metal Energy,82/83,Common
Fairy Energy,83/83,Common
Chikorita,RC1/83,Common
Shroomish,RC2/83,Common
Charmander,RC3/83,Common
Charmeleon,RC4/83,Common
Charizard,RC5/83,Uncommon
Flareon-EX,RC6/83,Rare Holo EX
Snorunt,RC7/83,Common
Froslass,RC8/83,Uncommon
Raichu,RC9/83,Common
Dedenne,RC10/83,Uncommon
Wobbuffet,RC11/83,Common
Gulpin,RC12/83,Common
Jirachi,RC13/83,Uncommon
Espurr,RC14/83,Common
Meowstic,RC15/83,Uncommon
Yveltal,RC16/83,Uncommon
Flabébé,RC17/83,Common
Floette,RC18/83,Uncommon
Swirlix,RC19/83,Uncommon
Slurpuff,RC20/83,Uncommon
Sylveon-EX,RC21/83,Rare Holo EX
Diancie,RC22/83,Uncommon
Swablu,RC23/83,Common
Altaria,RC24/83,Uncommon
Fletchling,RC25/83,Common
Floral Crown,RC26/83,Common
Wally,RC27/83,Uncommon
Flareon-EX,RC28/83,Rare Ultra
Pikachu,RC29/83,Rare Ultra
Gardevoir-EX,RC30/83,Rare Ultra
M Gardevoir-EX,RC31/83,Rare Ultra
Sylveon-EX,RC32/83,Rare Ultra
