Name,Number,Rarity
Venonat,1/119,Common
Venomoth,2/119,Rare
Yanma,3/119,Common
Yanmega,4/119,Rare
Sewaddle,5/119,Common
Swadloon,6/119,Uncommon
Leavanny,7/119,Rare
Karrablast,8/119,Common
Fletchinder,9/119,Uncommon
Talonflame,10/119,Rare
Litleo,11/119,Common
Pyroar,12/119,Rare Holo
Krabby,13/119,Common
Kingler,14/119,Uncommon
Totodile,15/119,Common
Croconaw,16/119,Uncommon
Feraligatr,17/119,Rare Holo
Finneon,18/119,Common
Lumineon,19/119,Uncommon
Frillish,20/119,Common
Jellicent,21/119,Rare
Alomomola,22/119,Common
Manectric-EX,23/119,Rare Holo EX
M Manectric-EX,24/119,Rare Holo EX
M Manectric-EX,24a/119,Rare Ultra
Pachirisu,25/119,Rare
Joltik,26/119,Common
Galvantula,27/119,Rare
Helioptile,28/119,Common
Helioptile,29/119,Common
Heliolisk,30/119,Rare Holo
Zubat,31/119,Common
Golbat,32/119,Uncommon
Crobat,33/119,Rare
Gengar-EX,34/119,Rare Holo EX
M Gengar-EX,35/119,Rare Holo EX
Wobbuffet,36/119,Uncommon
Gulpin,37/119,Common
Swalot,38/119,Rare
Munna,39/119,Common
Musharna,40/119,Rare
Litwick,41/119,Common
Lampent,42/119,Uncommon
Chandelure,43/119,Rare Holo
Pumpkaboo,44/119,Common
Gourgeist,45/119,Rare Holo
Gligar,46/119,Common
Gliscor,47/119,Rare
Roggenrola,48/119,Common
Boldore,49/119,Uncommon
Gigalith,50/119,Rare Holo
Murkrow,51/119,Common
Honchkrow,52/119,Rare
Poochyena,53/119,Common
Mightyena,54/119,Rare
Spiritomb,55/119,Rare
Purrloin,56/119,Common
Liepard,57/119,Uncommon
Malamar-EX,58/119,Rare Holo EX
Skarmory,59/119,Common
Bronzor,60/119,Common
Bronzong,61/119,Rare
Dialga-EX,62/119,Rare Holo EX
Heatran,63/119,Rare Holo
Escavalier,64/119,Rare
Aegislash-EX,65/119,Rare Holo EX
Aegislash-EX,65a/119,Rare Ultra
Klefki,66/119,Uncommon
Florges-EX,67/119,Rare Holo EX
Swirlix,68/119,Common
Slurpuff,69/119,Rare Holo
Dedenne,70/119,Common
Diancie,71/119,Rare Holo
Deino,72/119,Common
Zweilous,73/119,Uncommon
Hydreigon,74/119,Rare Holo
Goomy,75/119,Common
Sliggoo,76/119,Uncommon
Goodra,77/119,Rare Holo
Spearow,78/119,Common
Fearow,79/119,Uncommon
Chansey,80/119,Common
Blissey,81/119,Rare
Girafarig,82/119,Uncommon
Whismur,83/119,Common
Loudred,84/119,Uncommon
Exploud,85/119,Rare
Regigigas,86/119,Rare Holo
Bunnelby,87/119,Common
Diggersby,88/119,Rare
Fletchling,89/119,Common
Furfrou,90/119,Uncommon
AZ,91/119,Uncommon
Battle Compressor Team Flare Gear,92/119,Uncommon
Dimension Valley,93/119,Uncommon
Enhanced Hammer,94/119,Uncommon
Gengar Spirit Link,95/119,Uncommon
Hand Scope,96/119,Uncommon
Head Ringer Team Flare Hyper Gear,97/119,Rare Holo
Jamming Net Team Flare Hyper Gear,98/119,Rare Holo
Lysandre's Trump Card,99/119,Uncommon
Manectric Spirit Link,100/119,Uncommon
Professor Sycamore,101/119,Uncommon
Robo Substitute Team Flare Gear,102/119,Uncommon
Roller Skates,103/119,Uncommon
Shauna,104/119,Uncommon
Steel Shelter,105/119,Uncommon
Target Whistle Team Flare Gear,106/119,Uncommon
Tierno,107/119,Uncommon
Trick Coin,108/119,Uncommon
VS Seeker,109/119,Uncommon
Xerosic,110/119,Uncommon
Double Colorless Energy,111/119,Uncommon
Mystery Energy,112/119,Uncommon
Manectric-EX,113/119,Rare Ultra
Gengar-EX,114/119,Rare Ultra
Malamar-EX,115/119,Rare Ultra
Florges-EX,116/119,Rare Ultra
AZ,117/119,Rare Ultra
Lysandre's Trump Card,118/119,Rare Ultra
Xerosic,119/119,Rare Ultra
M Manectric-EX,120/119,Rare Secret
M Gengar-EX,121/119,Rare Secret
Dialga-EX,122/119,Rare Secret
