Name,Number,Rarity
Weedle,1/160,Common
Kakuna,2/160,Uncommon
Beedrill,3/160,Rare
Tangela,4/160,Common
Tangrowth,5/160,Rare
Treecko,6/160,Common
Grovyle,7/160,Uncommon
Sceptile,8/160,Rare
Sceptile,9/160,Rare Holo
Lotad,10/160,Common
Lombre,11/160,Uncommon
Ludicolo,12/160,Rare Holo
Surskit,13/160,Common
Masquerain,14/160,Uncommon
Shroomish,15/160,Common
Breloom,16/160,Rare
Volbeat,17/160,Common
Illumise,18/160,Common
Trevenant-EX,19/160,Rare Holo EX
Vulpix,20/160,Common
Ninetales,21/160,Rare
Slugma,22/160,Common
Magcargo,23/160,Uncommon
Magcargo,24/160,Rare
Torchic,25/160,Common
Torchic,26/160,Uncommon
Combusken,27/160,Uncommon
Blaziken,28/160,Rare Holo
Camerupt-EX,29/160,Rare Holo EX
Horsea,30/160,Common
Seadra,31/160,Uncommon
Staryu,32/160,Common
Mudkip,33/160,Common
Marshtomp,34/160,Uncommon
Swampert,35/160,Rare
Swampert,36/160,Rare Holo
Ludicolo,37/160,Rare
Wailord-EX,38/160,Rare Holo EX
Barboach,39/160,Common
Whiscash,40/160,Uncommon
Whiscash,41/160,Rare
Corphish,42/160,Common
Feebas,43/160,Common
Milotic,44/160,Rare Holo
Spheal,45/160,Common
Spheal,46/160,Common
Sealeo,47/160,Uncommon
Walrein,48/160,Rare
Clamperl,49/160,Common
Huntail,50/160,Rare Holo
Gorebyss,51/160,Uncommon
Gorebyss,52/160,Rare
Kyogre,53/160,Rare
Kyogre-EX,54/160,Rare Holo EX
Primal Kyogre-EX,55/160,Rare Holo EX
Manaphy,56/160,Rare Holo
Chinchou,57/160,Common
Lanturn,58/160,Uncommon
Electrike,59/160,Common
Electrike,60/160,Uncommon
Manectric,61/160,Rare Holo
Tynamo,62/160,Common
Eelektrik,63/160,Uncommon
Eelektrik,64/160,Rare
Eelektross,65/160,Rare Holo
Nidoran ♀,66/160,Common
Nidorina,67/160,Uncommon
Nidoqueen,68/160,Uncommon
Nidoqueen,69/160,Rare
Tentacool,70/160,Common
Tentacool,71/160,Uncommon
Tentacruel,72/160,Rare
Starmie,73/160,Rare
Rhyhorn,74/160,Common
Rhydon,75/160,Uncommon
Rhyperior,76/160,Rare
Rhyperior,77/160,Rare Holo
Nosepass,78/160,Common
Meditite,79/160,Common
Medicham,80/160,Rare Holo
Medicham,81/160,Rare
Trapinch,82/160,Common
Solrock,83/160,Common
Groudon,84/160,Rare
Groudon-EX,85/160,Rare Holo EX
Primal Groudon-EX,86/160,Rare Holo EX
Hippopotas,87/160,Common
Hippowdon,88/160,Rare Holo
Drilbur,89/160,Common
Diggersby,90/160,Rare
Sharpedo-EX,91/160,Rare Holo EX
Crawdaunt,92/160,Rare Holo
Aggron-EX,93/160,Rare Holo EX
M Aggron-EX,94/160,Rare Holo EX
Probopass,95/160,Rare
Excadrill,96/160,Rare
Excadrill,97/160,Rare Holo
Honedge,98/160,Common
Doublade,99/160,Uncommon
Aegislash,100/160,Rare Holo
Mr. Mime,101/160,Uncommon
Marill,102/160,Common
Azumarill,103/160,Rare
Azumarill,104/160,Rare Holo
Gardevoir-EX,105/160,Rare Holo EX
M Gardevoir-EX,106/160,Rare Holo EX
Kingdra,107/160,Rare
Kingdra,108/160,Rare Holo
Vibrava,109/160,Uncommon
Flygon,110/160,Rare Holo
Zigzagoon,111/160,Common
Linoone,112/160,Uncommon
Skitty,113/160,Common
Delcatty,114/160,Rare
Spinda,115/160,Common
Bidoof,116/160,Common
Bidoof,117/160,Uncommon
Bibarel,118/160,Uncommon
Bouffalant,119/160,Uncommon
Bunnelby,120/160,Common
Bunnelby,121/160,Uncommon
Acro Bike,122/160,Uncommon
Aggron Spirit Link,123/160,Uncommon
Archie's Ace in the Hole,124/160,Uncommon
Dive Ball,125/160,Uncommon
Energy Retrieval,126/160,Uncommon
Escape Rope,127/160,Uncommon
Exp. Share,128/160,Uncommon
Fresh Water Set,129/160,Uncommon
Gardevoir Spirit Link,130/160,Uncommon
Groudon Spirit Link,131/160,Uncommon
Kyogre Spirit Link,132/160,Uncommon
Maxie's Hidden Ball Trick,133/160,Uncommon
Professor Birch's Observations,134/160,Uncommon
Rare Candy,135/160,Uncommon
Repeat Ball,136/160,Uncommon
Rough Seas,137/160,Uncommon
Scorched Earth,138/160,Uncommon
Shrine of Memories,139/160,Uncommon
Silent Lab,140/160,Uncommon
Teammates,141/160,Uncommon
Weakness Policy,142/160,Uncommon
Shield Energy,143/160,Uncommon
Wonder Energy,144/160,Uncommon
Trevenant-EX,145/160,Rare Ultra
Camerupt-EX,146/160,Rare Ultra
Wailord-EX,147/160,Rare Ultra
Kyogre-EX,148/160,Rare Ultra
Primal Kyogre-EX,149/160,Rare Ultra
Groudon-EX,150/160,Rare Ultra
Primal Groudon-EX,151/160,Rare Ultra
Sharpedo-EX,152/160,Rare Ultra
Aggron-EX,153/160,Rare Ultra
M Aggron-EX,154/160,Rare Ultra
Gardevoir-EX,155/160,Rare Ultra
M Gardevoir-EX,156/160,Rare Ultra
Archie's Ace in the Hole,157/160,Rare Ultra
Maxie's Hidden Ball Trick,158/160,Rare Ultra
Professor Birch's Observations,159/160,Rare Ultra
Teammates,160/160,Rare Ultra
Dive Ball,161/160,Rare Secret
Enhanced Hammer,162/160,Rare Secret
Switch,163/160,Rare Secret
Weakness Policy,164/160,Rare Secret
