Name,Number,Rarity
Exeggcute,1/108,Common
Exeggutor,2/108,Uncommon
Wurmple,3/108,Common
Silcoon,4/108,Uncommon
Beautifly,5/108,Rare Holo
Cascoon,6/108,Common
Dustox,7/108,Uncommon
Dustox,8/108,Rare
Nincada,9/108,Common
Ninjask,10/108,Uncommon
Shedinja,11/108,Rare
Tropius,12/108,Uncommon
Victini,13/108,Rare
Fletchinder,14/108,Uncommon
Talonflame,15/108,Rare
Articuno,16/108,Rare
Articuno,17/108,Rare
Wingull,18/108,Common
Pelipper,19/108,Uncommon
Pikachu,20/108,Common
Voltorb,21/108,Common
Electrode,22/108,Uncommon
Zapdos,23/108,Rare
Electrike,24/108,Common
Manectric,25/108,Uncommon
Thundurus-EX,26/108,Rare Holo EX
Natu,27/108,Common
Natu,28/108,Common
Xatu,29/108,Rare
Shuppet,30/108,Common
Banette,31/108,Rare
Banette,32/108,Rare
Deoxys,33/108,Rare Holo
Gallade-EX,34/108,Rare Holo EX
M Gallade-EX,35/108,Rare Holo EX
Gligar,36/108,Common
Gliscor,37/108,Uncommon
Binacle,38/108,Common
Hawlucha,39/108,Common
Absol,40/108,Rare Holo
Inkay,41/108,Common
Jirachi,42/108,Rare Holo
Togepi,43/108,Common
Togetic,44/108,Uncommon
Togekiss,45/108,Rare
Togekiss,46/108,Rare Holo
Carbink,47/108,Rare
Klefki,48/108,Rare
Dratini,49/108,Common
Dragonair,50/108,Uncommon
Dragonite,51/108,Rare
Dragonite,52/108,Rare Holo
Altaria,53/108,Uncommon
Bagon,54/108,Common
Bagon,55/108,Common
Shelgon,56/108,Uncommon
Salamence,57/108,Rare Holo
Latios-EX,58/108,Rare Holo EX
M Latios-EX,59/108,Rare Holo EX
Rayquaza-EX,60/108,Rare Holo EX
M Rayquaza-EX,61/108,Rare Holo EX
Hydreigon-EX,62/108,Rare Holo EX
Reshiram,63/108,Rare Holo
Zekrom,64/108,Rare Holo
Spearow,65/108,Common
Fearow,66/108,Uncommon
Meowth,67/108,Common
Dunsparce,68/108,Common
Skarmory,69/108,Rare
Taillow,70/108,Common
Swellow,71/108,Rare
Swellow,72/108,Rare Holo
Swablu,73/108,Common
Altaria,74/108,Rare
Rayquaza-EX,75/108,Rare Holo EX
M Rayquaza-EX,76/108,Rare Holo EX
Shaymin-EX,77/108,Rare Holo EX
Shaymin-EX,77a/108,Rare Ultra
Pidove,78/108,Common
Tranquill,79/108,Uncommon
Unfezant,80/108,Uncommon
Unfezant,81/108,Rare
Fletchling,82/108,Common
Gallade Spirit Link,83/108,Uncommon
Healing Scarf,84/108,Uncommon
Latios Spirit Link,85/108,Uncommon
Mega Turbo,86/108,Uncommon
Rayquaza Spirit Link,87/108,Uncommon
Revive,88/108,Uncommon
Sky Field,89/108,Uncommon
Steven,90/108,Uncommon
Switch,91/108,Uncommon
Trainers' Mail,92/108,Uncommon
Trainers' Mail,92a/108,Uncommon
Ultra Ball,93/108,Uncommon
Wally,94/108,Uncommon
Wide Lens,95/108,Uncommon
Winona,96/108,Uncommon
Double Dragon Energy,97/108,Uncommon
Thundurus-EX,98/108,Rare Ultra
Gallade-EX,99/108,Rare Ultra
M Gallade-EX,100/108,Rare Ultra
Latios-EX,101/108,Rare Ultra
M Latios-EX,102/108,Rare Ultra
Hydreigon-EX,103/108,Rare Ultra
Rayquaza-EX,104/108,Rare Ultra
M Rayquaza-EX,105/108,Rare Ultra
Shaymin-EX,106/108,Rare Ultra
Wally,107/108,Rare Ultra
Winona,108/108,Rare Ultra
Energy Switch,109/108,Rare Secret
VS Seeker,110/108,Rare Secret
