Name,Number,Rarity
Tangela,1/114,Common
Tangrowth,2/114,Uncommon
Hoppip,3/114,Common
Skiploom,4/114,Uncommon
Jumpluff,5/114,Rare
Yanma,6/114,Common
Yanmega,7/114,Rare
Yanmega BREAK,8/114,Rare BREAK
Seedot,9/114,Common
Nuzleaf,10/114,Uncommon
Shiftry,11/114,Rare Holo
Foongus,12/114,Common
Amoonguss,13/114,Rare
Larvesta,14/114,Common
Volcarona,15/114,Rare
Ponyta,16/114,Common
Rapidash,17/114,Uncommon
Chimchar,18/114,Common
Monferno,19/114,Uncommon
Infernape,20/114,Rare Holo
Talonflame BREAK,21/114,Rare BREAK
Litleo,22/114,Common
Pyroar,23/114,Rare
Pyroar BREAK,24/114,Rare BREAK
Volcanion,25/114,Rare
Volcanion-EX,26/114,Rare Holo EX
Mantine,27/114,Common
Shellos,28/114,Common
Gastrodon,29/114,Rare
Oshawott,30/114,Common
Dewott,31/114,Uncommon
Samurott,32/114,Rare
Clauncher,33/114,Common
Clawitzer,34/114,Rare
Clawitzer BREAK,35/114,Rare BREAK
Bergmite,36/114,Common
Avalugg,37/114,Rare
Mareep,38/114,Common
Flaaffy,39/114,Uncommon
Ampharos,40/114,Rare Holo
Joltik,41/114,Common
Galvantula,42/114,Rare
Nidoran ♂,43/114,Common
Nidorino,44/114,Uncommon
Nidoking,45/114,Rare
Drifloon,46/114,Common
Drifblim,47/114,Uncommon
Litwick,48/114,Common
Lampent,49/114,Uncommon
Chandelure,50/114,Rare Holo
Hoopa,51/114,Rare
Mankey,52/114,Common
Primeape,53/114,Rare
Nosepass,54/114,Common
Probopass,55/114,Rare
Anorith,56/114,Uncommon
Armaldo,57/114,Rare
Croagunk,58/114,Common
Toxicroak,59/114,Rare
Sneasel,60/114,Common
Weavile,61/114,Rare
Spiritomb,62/114,Rare
Pawniard,63/114,Common
Bisharp,64/114,Rare Holo
Yveltal,65/114,Rare Holo
Yveltal BREAK,66/114,Rare BREAK
Steelix-EX,67/114,Rare Holo EX
M Steelix-EX,68/114,Rare Holo EX
Shieldon,69/114,Uncommon
Bastiodon,70/114,Rare
Klink,71/114,Common
Klang,72/114,Uncommon
Klinklang,73/114,Rare Holo
Cobalion,74/114,Rare
Magearna-EX,75/114,Rare Holo EX
Marill,76/114,Common
Azumarill,77/114,Uncommon
Gardevoir-EX,78/114,Rare Holo EX
M Gardevoir-EX,79/114,Rare Holo EX
Klefki,80/114,Uncommon
Xerneas,81/114,Rare Holo
Xerneas BREAK,82/114,Rare BREAK
Druddigon,83/114,Rare
Deino,84/114,Common
Zweilous,85/114,Uncommon
Hydreigon,86/114,Rare Holo
Hydreigon BREAK,87/114,Rare BREAK
Meowth,88/114,Common
Persian,89/114,Uncommon
Aipom,90/114,Common
Ambipom,91/114,Uncommon
Rufflet,92/114,Common
Braviary,93/114,Uncommon
Fletchling,94/114,Common
Fletchinder,95/114,Uncommon
Talonflame,96/114,Rare
Hawlucha,97/114,Uncommon
Armor Fossil Shieldon,98/114,Uncommon
Captivating Poké Puff,99/114,Uncommon
Claw Fossil Anorith,100/114,Uncommon
Gardevoir Spirit Link,101/114,Uncommon
Greedy Dice,102/114,Uncommon
Ninja Boy,103/114,Uncommon
Pokémon Ranger,104/114,Uncommon
Special Charge,105/114,Uncommon
Steelix Spirit Link,106/114,Uncommon
Volcanion-EX,107/114,Rare Ultra
Steelix-EX,108/114,Rare Ultra
M Steelix-EX,109/114,Rare Ultra
Magearna-EX,110/114,Rare Ultra
Gardevoir-EX,111/114,Rare Ultra
M Gardevoir-EX,112/114,Rare Ultra
Pokémon Ranger,113/114,Rare Ultra
Professor Sycamore,114/114,Rare Ultra
Volcanion-EX,115/114,Rare Secret
Gardevoir-EX,116/114,Rare Secret
